"filename", "language", "JSON", "Log", "JavaScript", "Docker", "comment", "blank", "total"
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\Dockerfile", "Docker", 0, 0, 0, 15, 11, 14, 40
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\PaymentSystem.js", "JavaScript", 0, 0, 127, 0, 24, 30, 181
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\config\dbConfig.js", "JavaScript", 0, 0, 1799, 0, 44, 83, 1926
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\controllers\ContentAnalyticsController.js", "JavaScript", 0, 0, 333, 0, 16, 48, 397
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\controllers\analyticsController.js", "JavaScript", 0, 0, 442, 0, 11, 37, 490
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\controllers\authController.js", "JavaScript", 0, 0, 763, 0, 107, 139, 1009
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\controllers\billingManagementController.js", "JavaScript", 0, 0, 137, 0, 3, 20, 160
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\controllers\categoryController.js", "JavaScript", 0, 0, 469, 0, 26, 73, 568
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\controllers\contactController.js", "JavaScript", 0, 0, 695, 0, 61, 113, 869
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\controllers\contentController.js", "JavaScript", 0, 0, 1246, 0, 149, 202, 1597
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\controllers\customerManagementController.js", "JavaScript", 0, 0, 203, 0, 10, 29, 242
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\controllers\emailVerificationController.js", "JavaScript", 0, 0, 44, 0, 7, 10, 61
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\controllers\genreController.js", "JavaScript", 0, 0, 295, 0, 19, 58, 372
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\controllers\imageProxyController.js", "JavaScript", 0, 0, 46, 0, 4, 13, 63
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\controllers\kidController.js", "JavaScript", 0, 0, 954, 0, 60, 117, 1131
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\controllers\kidProfileController.js", "JavaScript", 0, 0, 503, 0, 33, 80, 616
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\controllers\kidSessionController.js", "JavaScript", 0, 0, 170, 0, 1, 34, 205
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\controllers\mediaController.js", "JavaScript", 0, 0, 301, 0, 35, 51, 387
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\controllers\newPlanController.js", "JavaScript", 0, 0, 225, 0, 27, 32, 284
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\controllers\notificationController.js", "JavaScript", 0, 0, 490, 0, 29, 87, 606
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\controllers\overviewController.js", "JavaScript", 0, 0, 167, 0, 9, 13, 189
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\controllers\paymentController.js", "JavaScript", 0, 0, 513, 0, 58, 79, 650
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\controllers\peopleController.js", "JavaScript", 0, 0, 799, 0, 46, 134, 979
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\controllers\preferencesController.js", "JavaScript", 0, 0, 74, 0, 6, 12, 92
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\controllers\profileSelectionController.js", "JavaScript", 0, 0, 116, 0, 4, 23, 143
"c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\controllers\publicSubscriptionController.js", "JavaScript", 0, 0, 95, 0, 15, 10, 120
