Date : 2025-11-21 18:20:58
Directory : c:\Users\SAMUEL\Documents\Github\Oliviuus\backend
Total : 92 files,  28195 codes, 1573 comments, 3165 blanks, all 32933 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         84 |     21,456 |      1,562 |      3,148 |     26,166 |
| JSON       |          6 |      6,695 |          0 |          2 |      6,697 |
| Log        |          1 |         29 |          0 |          1 |         30 |
| Docker     |          1 |         15 |         11 |         14 |         40 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                             | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                |         92 |     28,195 |      1,573 |      3,165 |     32,933 |
| . (Files)                                                                                        |          9 |      6,969 |         58 |         93 |      7,120 |
| config                                                                                           |          1 |      1,799 |         44 |         83 |      1,926 |
| controllers                                                                                      |         35 |     17,196 |      1,198 |      2,543 |     20,937 |
| locales                                                                                          |          4 |        144 |          0 |          0 |        144 |
| middlewares                                                                                      |          8 |        326 |         30 |         65 |        421 |
| models                                                                                           |          1 |         22 |          1 |          5 |         28 |
| routes                                                                                           |         28 |        657 |        122 |        177 |        956 |
| seeds                                                                                            |          1 |         23 |          0 |          6 |         29 |
| services                                                                                         |          4 |      1,044 |        120 |        190 |      1,354 |
| utils                                                                                            |          1 |         15 |          0 |          3 |         18 |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                         | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\Dockerfile                                     | Docker     |         15 |         11 |         14 |         40 |
| c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\PaymentSystem.js                               | JavaScript |        127 |         24 |         30 |        181 |
| c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\config\dbConfig.js                             | JavaScript |      1,799 |         44 |         83 |      1,926 |
| c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\controllers\ContentAnalyticsController.js      | JavaScript |        333 |         16 |         48 |        397 |
| c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\controllers\analyticsController.js             | JavaScript |        442 |         11 |         37 |        490 |
| c:\Users\SAMUEL\Documents\Github\Oliviuus\backend\controllers\authController.js                  | JavaScript |        763 |        107 |        139 |      1,009 |
